QUERY_KEY,P@10,R@10,MRR@10,nDCG@10
96,0.2,0.15384615384615385,1.0,0.5035956026558774
97,0.2,0.16666666666666666,1.0,0.5856895499199544
98,0.3,0.23076923076923078,0.3333333333333333,0.19305548891259355
99,0.5,0.4166666666666667,1.0,0.6902342345705368
100,0.6,0.5454545454545454,1.0,0.36005459831949066
101,0.5,0.5,1.0,0.7864254883647274
102,0.6,0.5,1.0,0.6782710921491419
103,0.6,0.6,1.0,0.6578986223737446
104,0.6,0.5454545454545454,1.0,0.6961622681399227
105,0.4,0.36363636363636365,1.0,0.7007038930962475
106,0.7,0.5384615384615384,1.0,0.9330457781647212
107,0.4,0.5,1.0,0.8336031066846931
108,0.6,0.46153846153846156,1.0,0.8073764913365878
109,0.8,0.5714285714285714,1.0,0.9117072369098158
110,0.3,0.25,0.2,0.22312996011396227
111,0.2,0.18181818181818182,1.0,0.5365812317683465
112,0.5,0.5,1.0,0.7869626858805214
113,0.6,0.42857142857142855,1.0,0.8190558395537977
114,0.4,0.3076923076923077,1.0,0.542889512458399
115,0.5,0.3333333333333333,1.0,0.6324219147043604
116,0.8,0.7272727272727273,1.0,0.8630152897016883
117,0.5,0.45454545454545453,1.0,0.5722421928079506
118,0.4,0.4,1.0,0.6356356590870059
119,0.4,0.3333333333333333,1.0,0.4846149719499703
120,0.5,0.4166666666666667,1.0,0.5937042134007059
121,0.4,0.3076923076923077,1.0,0.6695788921156949
122,0.2,0.18181818181818182,1.0,0.31488013066763093
123,0.4,0.3076923076923077,0.5,0.40546081865004574
124,0.4,0.36363636363636365,1.0,0.5820467694818735
125,0.4,0.3333333333333333,1.0,0.8199875332957645
126,0.6,0.5454545454545454,1.0,0.727329844310522
127,0.4,0.3333333333333333,1.0,0.47573640258014954
128,0.5,0.45454545454545453,0.3333333333333333,0.3846260441149136
129,0.5,0.5,1.0,0.6782273277938312
130,0.6,0.6,1.0,0.7428896874115581
131,0.2,0.2,0.25,0.2654415464877112
132,0.2,0.2222222222222222,1.0,0.6791115038097923
133,0.6,0.46153846153846156,1.0,0.8279775450194014
134,0.5,0.4166666666666667,1.0,0.6178907187813052
135,0.5,0.4166666666666667,1.0,0.7406622340627151
136,0.5,0.45454545454545453,1.0,0.4522399775092965
137,0.5,0.45454545454545453,1.0,0.7808466137274026
138,0.8,0.6666666666666666,1.0,0.7948833326720564
139,0.6,0.6,0.5,0.592719517344377
140,0.4,0.3333333333333333,1.0,0.6906886814824444
141,0.1,0.1,1.0,0.6639124204207466
142,0.3,0.5,1.0,0.7043260773240527
143,0.4,0.36363636363636365,1.0,0.5994449874686023
144,0.4,0.3076923076923077,1.0,0.6447538936486357
145,0.9,0.8181818181818182,1.0,0.9228054293747437
146,0.5,0.4166666666666667,1.0,0.7041135291517454
147,0.3,0.21428571428571427,1.0,0.5424130412991629
148,0.3,0.23076923076923078,1.0,0.5709791247648389
149,0.3,0.25,1.0,0.6572042581113818
150,0.6,0.5454545454545454,1.0,0.8126615127273872
MEAN,0.46,0.38740341140341145,0.8898333333333335,0.6015693379067563
