QUERY_KEY,P@10,R@10,MRR@10,nDCG@10
82,0.2,0.2222222222222222,1.0,0.6391637682915693
83,0.6,0.42857142857142855,1.0,0.5806020001118017
84,0.6,0.5,1.0,0.6375025683412349
85,0.4,0.3076923076923077,1.0,0.697148909979883
86,0.7,0.5384615384615384,1.0,0.8968211460009696
87,0.3,0.25,0.16666666666666666,0.36563603313124815
88,0.5,0.38461538461538464,1.0,0.7110714937728606
89,0.6,0.5,1.0,0.5277417429353052
90,0.2,0.13333333333333333,1.0,0.49752226388286414
91,0.1,0.08333333333333333,0.1,0.19191372849921165
92,0.3,0.2727272727272727,1.0,0.33471743816211563
93,0.4,0.3333333333333333,1.0,0.4480471986386989
94,0.6,0.42857142857142855,1.0,0.7856352051222517
95,0.9,0.8181818181818182,1.0,0.825447386967252
96,0.2,0.15384615384615385,0.2,0.24470376102868813
97,0.2,0.16666666666666666,0.125,0.1891913787213451
98,0.3,0.23076923076923078,1.0,0.4714136736431707
99,0.4,0.3333333333333333,0.16666666666666666,0.2308194031117727
100,0.1,0.09090909090909091,0.1111111111111111,0.041855709852763254
101,0.4,0.4,1.0,0.749762007583863
102,0.5,0.4166666666666667,1.0,0.6774304262673124
103,0.7,0.7,1.0,0.7909506325094736
104,0.7,0.6363636363636364,1.0,0.7859162856301583
105,0.5,0.45454545454545453,0.5,0.47155510392865974
106,0.7,0.5384615384615384,1.0,0.9203453650435873
107,0.3,0.375,1.0,0.6878208779943932
108,0.5,0.38461538461538464,1.0,0.7435166537156247
109,0.7,0.5,1.0,0.8421407250025246
110,0.1,0.08333333333333333,0.1111111111111111,0.06875374781295601
111,0.2,0.18181818181818182,1.0,0.5365812317683465
112,0.5,0.5,1.0,0.8061361842115262
113,0.8,0.5714285714285714,1.0,0.6599903472928426
114,0.3,0.23076923076923078,1.0,0.38064684125735015
115,0.3,0.2,0.5,0.3711883643729713
116,0.8,0.7272727272727273,1.0,0.8521705090845474
117,0.0,0.0,0.0,0.0
118,0.4,0.4,1.0,0.631315330436009
119,0.4,0.3333333333333333,1.0,0.4988163148497776
120,0.4,0.3333333333333333,1.0,0.5149884132720514
121,0.4,0.3076923076923077,1.0,0.6847705426883541
122,0.1,0.09090909090909091,0.3333333333333333,0.11004588314904008
123,0.3,0.23076923076923078,1.0,0.42144286386278
124,0.4,0.36363636363636365,1.0,0.6510344981909486
125,0.4,0.3333333333333333,1.0,0.730030750106695
126,0.8,0.7272727272727273,1.0,0.8572048559638626
127,0.3,0.25,0.3333333333333333,0.20795225821314992
128,0.6,0.5454545454545454,1.0,0.5589544388036634
129,0.5,0.5,1.0,0.7221348625248329
130,0.5,0.5,1.0,0.7353953846478288
131,0.2,0.2,0.3333333333333333,0.2964602666537667
132,0.3,0.3333333333333333,1.0,0.7381082614487613
133,0.5,0.38461538461538464,1.0,0.6813498600719713
134,0.5,0.4166666666666667,1.0,0.5482994507414368
135,0.6,0.5,1.0,0.6752590265300014
136,0.7,0.6363636363636364,1.0,0.8206853249740073
137,0.3,0.2727272727272727,1.0,0.5779453618385322
138,0.8,0.6666666666666666,1.0,0.831847713531089
139,0.6,0.6,1.0,0.665577754721843
140,0.3,0.25,1.0,0.6758911645275056
141,0.1,0.1,1.0,0.6639124204207466
142,0.3,0.5,0.5,0.5361975307210354
143,0.5,0.45454545454545453,0.3333333333333333,0.36694411882577843
144,0.4,0.3076923076923077,1.0,0.6341920452892272
145,0.8,0.7272727272727273,1.0,0.7354717708216129
146,0.5,0.4166666666666667,1.0,0.6754025819518105
